[RECEIVER] Valid data received:{'device': 'Smart AC', 'power_watts': 92.92, 'unit': 'W', 'status': 'OFF', 'timestamp': '2025-04-26 02:13:27'}
[RECEIVER] Valid data received:{'device': 'Smart AC', 'power_watts': 41.25, 'unit': 'W', 'status': 'ON', 'timestamp': '2025-04-26 02:22:13'}
[RECEIVER] Valid data received:{'device': 'Smart Light', 'power_watts': 49.73, 'unit': 'W', 'status': 'OFF', 'timestamp': '2025-04-26 02:22:17'}
[SENSOR] Sent: {'device': 'Smart AC', 'power_watts': 65.12, 'unit': 'W', 'status': 'ON', 'timestamp': '2025-04-26 02:21:31'}+ '
'[SENSOR] Sent: {'device': 'Smart AC', 'power_watts': 73.41, 'unit': 'W', 'status': 'ON', 'timestamp': '2025-04-26 02:21:34'}+ '
'[SENSOR] Sent: {'device': 'Smart Fan', 'power_watts': 71.46, 'unit': 'W', 'status': 'ON', 'timestamp': '2025-04-26 02:21:38'}+ '
'[SENSOR] Request failed: Simulated network failure+ '
'[SENSOR] Request failed: Simulated network failure+ '
'[SENSOR] Sent: {'device': 'Smart Fan', 'power_watts': 59.96, 'unit': 'W', 'status': 'OFF', 'timestamp': '2025-04-26 02:21:42'}+ '
'[SENSOR] Request failed: Simulated network failure+ '
'[SENSOR] Sent: {'device': 'Smart AC', 'power_watts': 39.06, 'unit': 'W', 'status': 'OFF', 'timestamp': '2025-04-26 02:21:46'}+ '
'[SENSOR] Sent: {'device': 'Smart Fan', 'power_watts': 90.44, 'unit': 'W', 'status': 'OFF', 'timestamp': '2025-04-26 02:21:50'}+ '
'[SENSOR] Sent: {'device': 'Smart AC', 'power_watts': 98.55, 'unit': 'W', 'status': 'OFF', 'timestamp': '2025-04-26 02:21:53'}+ '
'[SENSOR] Sent: {'device': 'Smart AC', 'power_watts': 25.88, 'unit': 'W', 'status': 'OFF', 'timestamp': '2025-04-26 02:21:54'}+ '
'[SENSOR] Sent: {'device': 'Smart Light', 'power_watts': 50.18, 'unit': 'W', 'status': 'ON', 'timestamp': '2025-04-26 02:21:58'}+ '
'[SENSOR] Sent: {'device': 'Smart Fan', 'power_watts': 25.9, 'unit': 'W', 'status': 'OFF', 'timestamp': '2025-04-26 02:22:00'}+ '
'[SENSOR] Sent: {'device': 'Smart Light', 'power_watts': 72.42, 'unit': 'W', 'status': 'ON', 'timestamp': '2025-04-26 02:22:03'}+ '
'[SENSOR] Sent: {'device': 'Smart AC', 'power_watts': 92.54, 'unit': 'W', 'status': 'ON', 'timestamp': '2025-04-26 02:22:05'}+ '
'[SENSOR] Request failed: Simulated network failure+ '
'[SENSOR] Sent: {'device': 'Smart Fan', 'power_watts': 87.84, 'unit': 'W', 'status': 'OFF', 'timestamp': '2025-04-26 02:22:09'}+ '
'[SENSOR] Sent: {'device': 'Smart AC', 'power_watts': 41.25, 'unit': 'W', 'status': 'ON', 'timestamp': '2025-04-26 02:22:13'}+ '
'[SENSOR] Sent: {'device': 'Smart Light', 'power_watts': 49.73, 'unit': 'W', 'status': 'OFF', 'timestamp': '2025-04-26 02:22:17'}+ '
'
